index,count,tx_0,action_types
37,3,0xe4407dd7227f9cb91b5db9f5243641bb30e49c71fad61da973914165b69ff4a9,"['UniswapSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_out', 'UniswapSwap:token_in']"
43,3,0x8f06990646388683592d1d508e84f59e9c04f8011a20188a9c519028a158d266,"['', 'CurveSwap:token_in', 'CurveSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', '', 'WETH_deposit:weth_out']"
0,2,0xa635a5023abf9821e4baf786827257d57555f78949e71ed06875d6b742e8a8d3,"['BalancerVault:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'CurveSwap:token_in', 'CurveSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'PancakeSwap:token_out', 'BalancerVault:token_in', 'PancakeSwap:token_in']"
9,2,0x304ad693a2b4f96755eff5a1f5ee343517123fb5c8b33664513ecbaf5b7a5de9,"['CurveRouter:token_in', 'CurveRouter:token_to_pool', 'CurveSwap:token_out', 'CurveSwap:token_out', 'CurveRouter:token_from_pool', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_out', 'CurveRouter:token_in', 'CurveRouter:token_out']"
13,2,0x9d4ff8766b217d3727d78c4bf12724ebbc48a179e34478404566ed9b75530432,"['PancakeSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'frxETH_mint:eth_in', 'frxETH_transfer', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'PancakeSwap:token_in']"
14,2,0x4ec2bb954b720e7dfe388ac6641a722bf51c37b31a7bc4f717d38dfb623ff77b,"['PancakeSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_out', 'PancakeSwap:token_in', 'UniswapSwap:token_in']"
15,2,0x633c0b3c58a479d18374d90cd85ad308ab310f1df5703744e4767b9e7d79d884,"['UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'BalancerVault:token_in', 'UniswapSwap:token_in', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'miner_take_profit']"
22,2,0xd5df847361926472c9903ddce323e70356c36eb87ddf3c4223975ac4c0f42fc7,"['UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'PancakeSwap:token_out', 'UniswapSwap:token_in', 'PancakeSwap:token_in']"
23,2,0xf00f495faba45219755f029e1183f3e1b2449547e4349d36318acf06fcd5ab25,"['UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'SolidlySwap:token_in', 'SolidlySwap:token_out', 'SolidlySwap:token_out', 'UniswapSwap:token_in']"
34,2,0xdaffae1070eadefe0a1a502abd872a9b5def69ff46b442fba0dcd43da57ee5fe,"['UniswapSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_in']"
